"Plot_Number","Rice_Cultivar","Experiment_Name","Nitrogen_Rate","Replicate","Yield","Heading_100","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","NRCT","Vegetation_Fraction","contrast_90","dissimilarity_90","homogeneity_90","ASM_90","energy_90","correlation_90"
"35203","Carolina Gold","Santee_Gold",200,"2",3.438518018,90,27.9058437,-0.7300522,0.2601642,0.9630029,0.7300522,5.4253383,0.501175,1.2635041,0.1059385,2.0143759,0.0115501,-0.6168229,0.5678616,0.6168229,-0.1400743,0.8269559,-1.62e-05,0.314294,-0.3582131,27.1299629,7.4494343,1.5231987,0.9286548,0.0794463,0.19127437,1,22.14534884,3.558139535,0.251677392,0.003185844,0.056443279,0.93366984
"35771","XP753","Hybrid_XP753",130,"3",13.53515916,79,35.7058258,-0.3886761,0.2386638,0.4588351,0.3886761,1.2817883,0.1583529,2.9434083,0.1291702,0.3786646,0.1694187,0.1002662,0.0504681,-0.1002662,0.3531907,-0.1360459,0.0007432,0.584919,0.1360566,1.8724058,9.3384771,2.786509,0.2996961,0.1081234,0.421802585,0.376470588,99.95665635,8.108359133,0.116880468,0.00157195,0.039647828,0.607743468
"35839","M-202","Mini_Core",130,"3",11.34223416,74,36.6370697,-0.3358305,0.1768195,0.3542756,0.3358305,1.0136789,0.1207077,2.451684,0.0992758,0.2750053,0.2037286,0.1289483,0.0207905,-0.1289483,0.3512278,-0.1769279,0.0013378,0.6225119,0.1883179,1.5559227,6.1951442,2.6086066,0.2161099,0.0870286,0.511142953,0,60.20652174,5.820652174,0.193892433,0.003271207,0.057194471,0.6821674
"35799","Jefferson","Inbred_Jeff + NIL",130,"2",8.353815062,74,27.6067638,-0.7811457,0.2081441,0.9559303,0.7811457,7.1602521,0.5883471,0.6751125,0.0847051,2.8645647,0.0076115,-0.4720271,0.447368,0.4720271,-0.0605943,0.6724375,-5.4e-06,0.4050863,-0.3039305,22.7620258,5.7153087,2.9307327,0.915592,0.0699736,0.168496747,1,32.94427245,4.517027864,0.202472316,0.00284916,0.053377522,0.795019972
"35179","Santee Gold","Santee_Gold",150,"1",9.825156572,92,29.3372173,-0.6951714,0.8248837,0.9157038,0.6951714,4.5904527,0.3673616,6.531127,0.3818191,1.1667255,0.071236,-0.3648167,0.4463261,0.3648167,0.2156058,0.458837,-0.0004773,0.2998526,-0.2070469,12.123683,35.1228638,2.5983918,0.8447554,0.3204931,0.072866407,1,35.09375,4.71875,0.191410414,0.002788449,0.052805768,0.872839151
"35215","RoyJ","Santee_Gold",200,"3",16.27775502,89,36.2038269,-0.7397535,0.6194162,0.9291965,0.7397535,5.8154502,0.5410208,2.7324936,0.2623621,2.3850636,0.036073,-0.3700971,0.3786043,0.3700971,0.0198958,0.5299867,-9.87e-05,0.4422367,-0.267639,15.1828461,20.8560772,3.1060939,0.8686857,0.2486108,0.464255868,1,8.88633461,2.295019157,0.341380339,0.006166723,0.078528485,0.897174248
"33791","Sierra","Tiara",150,"1",8.758326962,88,29.2908173,-0.817739,0.814775,0.9734723,0.817739,9.4176149,0.6037417,3.5182886,0.3574249,3.1076839,0.0315509,-0.5899576,0.5726209,0.5899576,-0.0513193,0.7633665,-0.0001475,0.2857276,-0.2968654,41.2358513,30.2814808,2.6674533,0.9485006,0.3691078,0.234598691,1,16.875,2.736111111,0.361431006,0.010135031,0.10067289,0.923655956
"35216","Santee Gold","Santee_Gold",200,"3",9.813685286,92,36.5027809,-0.3484357,0.1994747,0.3940741,0.3484357,1.0777808,0.1285638,2.8761458,0.1101013,0.2965455,0.1909058,0.1109394,0.0383709,-0.1109394,0.3494511,-0.1517136,0.001032,0.6030036,0.1569544,1.6657393,7.4705591,2.5946879,0.246937,0.0906535,0.498259867,0.127906977,79.08010336,7.033591731,0.139478223,0.002336932,0.048341827,0.725144878
"33810","IAC600","Tiara",200,"1",6.785265747,69,29.9709053,-0.8364317,0.8301095,0.9752614,0.8364317,10.3355694,0.6394117,3.0018795,0.3645775,3.5645006,0.0280024,-0.5653254,0.5475423,0.5653254,-0.0499824,0.7442078,-9.45e-05,0.3072495,-0.2921356,40.8753433,30.7521019,3.1545939,0.9517299,0.3927165,0.147526991,1,31.55361757,4.36627907,0.202994125,0.001778781,0.042175597,0.858329863
"35758","XP753","Hybrid_XP753",130,"1",13.38245039,79,35.7811852,-0.37666,0.2030433,0.414651,0.37666,1.2129573,0.1412498,2.1965804,0.1103149,0.3302639,0.1681142,0.1264837,0.0247941,-0.1264837,0.3554847,-0.1725979,0.0008834,0.6132756,0.1746477,1.7185843,7.3121653,2.855351,0.2625076,0.0917422,0.429032492,0.152941176,32.85139319,4.482972136,0.199688784,0.002027241,0.04502489,0.895776459
